ticker,date,close,volume,open,high,low
SGTX,02/10/2022,$1.67,"157,179",$1.78,$1.8199,$1.65
SGTX,02/09/2022,$1.82,"272,669",$1.71,$1.84,$1.71
SGTX,02/08/2022,$1.7,"77,313",$1.68,$1.73,$1.64
SGTX,02/07/2022,$1.69,"57,799",$1.77,$1.8967,$1.68
SGTX,02/04/2022,$1.77,"91,338",$1.75,$1.78,$1.67
SGTX,02/03/2022,$1.75,"70,705",$1.75,$1.82,$1.75
SGTX,02/02/2022,$1.79,"77,196",$1.87,$1.87,$1.78
SGTX,02/01/2022,$1.9,"81,509",$1.92,$2.08,$1.85
SGTX,01/31/2022,$1.95,"87,899",$1.8,$1.96,$1.73
SGTX,01/28/2022,$1.8,"54,128",$1.71,$1.86,$1.65
SGTX,01/27/2022,$1.69,"52,739",$1.8,$1.8,$1.68
SGTX,01/26/2022,$1.81,"45,204",$1.94,$2.09,$1.75
SGTX,01/25/2022,$1.87,"56,682",$1.88,$1.95,$1.78
SGTX,01/24/2022,$1.88,"145,873",$1.75,$1.9349,$1.66
SGTX,01/21/2022,$1.81,"152,441",$1.91,$1.97,$1.78
SGTX,01/20/2022,$1.91,"89,043",$2,$2.08,$1.9
SGTX,01/19/2022,$1.96,"112,315",$2.07,$2.13,$1.95
SGTX,01/18/2022,$2.04,"254,090",$2.21,$2.22,$2.0127
SGTX,01/14/2022,$2.2,"97,721",$2.15,$2.229,$2.07
SGTX,01/13/2022,$2.17,"84,112",$2.28,$2.29,$2.15
SGTX,01/12/2022,$2.29,"95,079",$2.41,$2.5,$2.27
SGTX,01/11/2022,$2.4,"67,123",$2.4,$2.4578,$2.31
SGTX,01/10/2022,$2.39,"105,969",$2.44,$2.48,$2.27
SGTX,01/07/2022,$2.48,"143,303",$2.56,$2.59,$2.4
SGTX,01/06/2022,$2.52,"142,037",$2.49,$2.72,$2.4001
SGTX,01/05/2022,$2.51,"164,616",$2.87,$2.87,$2.48
SGTX,01/04/2022,$2.79,"88,030",$3.09,$3.09,$2.75
SGTX,01/03/2022,$3.03,"107,127",$2.72,$3.11,$2.72
SGTX,12/31/2021,$2.76,"106,513",$2.85,$2.985,$2.73
SGTX,12/30/2021,$2.86,"121,044",$2.66,$3.065,$2.66
SGTX,12/29/2021,$2.67,"151,991",$2.73,$2.8,$2.57
SGTX,12/28/2021,$2.7,"118,480",$2.79,$2.99,$2.65
SGTX,12/27/2021,$2.82,"209,386",$3.06,$3.1,$2.79
SGTX,12/23/2021,$3,"240,446",$2.84,$3.2549,$2.83
SGTX,12/22/2021,$2.8,"181,654",$2.85,$2.8795,$2.7
SGTX,12/21/2021,$2.85,"187,601",$2.8,$2.97,$2.7
SGTX,12/20/2021,$2.76,"186,025",$2.8,$2.9,$2.52
SGTX,12/17/2021,$2.81,"552,998",$2.63,$2.9182,$2.56
SGTX,12/16/2021,$2.59,"191,679",$2.58,$2.8,$2.52
SGTX,12/15/2021,$2.58,"289,154",$2.56,$2.63,$2.48
SGTX,12/14/2021,$2.59,"189,251",$2.81,$2.91,$2.57
SGTX,12/13/2021,$2.87,"135,998",$2.86,$2.98,$2.67
SGTX,12/10/2021,$2.87,"71,902",$3.05,$3.0626,$2.85
SGTX,12/09/2021,$3.03,"105,584",$3.27,$3.27,$2.97
SGTX,12/08/2021,$3.26,"107,840",$3.18,$3.45,$3.1
SGTX,12/07/2021,$3.19,"177,657",$2.95,$3.39,$2.9279
SGTX,12/06/2021,$2.86,"210,599",$2.74,$2.94,$2.6171
SGTX,12/03/2021,$2.72,"362,713",$3.08,$3.32,$2.63
SGTX,12/02/2021,$3.1,"187,493",$3.13,$3.3,$3.0353
SGTX,12/01/2021,$3.14,"305,997",$3.72,$3.8336,$3
SGTX,11/30/2021,$3.76,"298,278",$3.5,$3.83,$3.5
SGTX,11/29/2021,$3.77,"253,564",$3.75,$4.0499,$3.69
SGTX,11/26/2021,$3.95,"48,295",$4.04,$4.31,$3.85
SGTX,11/24/2021,$4.14,"140,875",$4.18,$4.2,$3.92
SGTX,11/23/2021,$4.26,"170,899",$4.25,$4.5,$3.99
SGTX,11/22/2021,$4.29,"196,411",$4.82,$4.968,$4.25
SGTX,11/19/2021,$4.82,"76,988",$4.87,$5.0328,$4.8
SGTX,11/18/2021,$4.91,"111,661",$4.8,$5,$4.6
SGTX,11/17/2021,$4.81,"58,559",$4.89,$4.95,$4.67
SGTX,11/16/2021,$4.89,"59,858",$5.05,$5.08,$4.86
SGTX,11/15/2021,$5.09,"75,586",$5.24,$5.24,$4.98
SGTX,11/12/2021,$5.15,"170,885",$5.01,$5.31,$4.9354
SGTX,11/11/2021,$4.95,"56,528",$5.01,$5.18,$4.89
SGTX,11/10/2021,$4.99,"46,940",$4.94,$5.15,$4.93
SGTX,11/09/2021,$5.02,"77,447",$5.09,$5.12,$4.89
SGTX,11/08/2021,$5.12,"95,436",$5.34,$5.445,$5.01
SGTX,11/05/2021,$5.31,"86,363",$5.39,$5.52,$5.21
SGTX,11/04/2021,$5.32,"57,156",$5.45,$5.5,$5.26
SGTX,11/03/2021,$5.36,"104,914",$5.35,$5.48,$5.27
SGTX,11/02/2021,$5.41,"46,817",$5.36,$5.57,$5.36
SGTX,11/01/2021,$5.35,"105,675",$5.43,$5.48,$5.285
SGTX,10/29/2021,$5.39,"203,858",$5.6,$5.7091,$5.23
SGTX,10/28/2021,$5.38,"148,279",$5.6,$5.77,$5.34
