ticker,date,close,volume,open,high,low
SONX,02/10/2022,$5.73,"105,597",$5.81,$6.17,$5.58
SONX,02/09/2022,$5.96,"102,291",$6.33,$6.35,$5.89
SONX,02/08/2022,$6.23,"15,389",$6.05,$6.469,$6.01
SONX,02/07/2022,$6.18,"38,782",$6.19,$6.44,$6.04
SONX,02/04/2022,$6.25,"157,698",$6,$6.2554,$5.43
SONX,02/03/2022,$6.06,"67,016",$6.21,$6.42,$6
SONX,02/02/2022,$6.34,"168,992",$7.51,$7.7,$6.24
SONX,02/01/2022,$7.62,"38,925",$7.18,$7.65,$7.01
SONX,01/31/2022,$7.21,"73,245",$7.17,$7.41,$6.985
SONX,01/28/2022,$7.31,"104,992",$7,$7.69,$7
SONX,01/27/2022,$7.02,"130,264",$6.95,$7.18,$6.55
SONX,01/26/2022,$6.84,"58,123",$7.35,$7.4,$6.68
SONX,01/25/2022,$7.26,"111,531",$6.46,$7.3,$6.35
SONX,01/24/2022,$6.58,"81,019",$6.55,$6.76,$5.82
SONX,01/21/2022,$6.66,"60,080",$6.99,$7.08,$6.57
SONX,01/20/2022,$7.06,"89,913",$6.48,$7.5,$6.48
SONX,01/19/2022,$6.54,"73,664",$6.9,$7.005,$6.4601
SONX,01/18/2022,$6.79,"122,447",$8.28,$8.4345,$6.75
SONX,01/14/2022,$8.17,"191,474",$7.79,$8.17,$7.32
SONX,01/13/2022,$7.78,"516,345",$7.27,$8.45,$7.18
SONX,01/12/2022,$7.18,"297,610",$6.88,$7.92,$6.83
SONX,01/11/2022,$6.75,"200,470",$6.14,$6.86,$5.7
SONX,01/10/2022,$5.64,"115,269",$5.59,$5.7,$5.32
SONX,01/07/2022,$5.63,"139,244",$5.7,$5.7002,$5.44
SONX,01/06/2022,$5.53,"177,141",$5.5,$5.93,$5.4
SONX,01/05/2022,$5.44,"320,652",$5.56,$5.8,$5.3
SONX,01/04/2022,$5.4,"181,290",$5.73,$5.8432,$5.31
SONX,01/03/2022,$5.79,"101,886",$5.8,$5.83,$5.5
SONX,12/31/2021,$5.76,"78,835",$5.8,$6.1549,$5.73
SONX,12/30/2021,$5.72,"172,818",$5.93,$6.05,$5.66
SONX,12/29/2021,$5.91,"161,923",$6.1,$6.2998,$5.87
SONX,12/28/2021,$6.13,"93,009",$6.64,$6.64,$6.03
SONX,12/27/2021,$6.51,"68,937",$6.26,$6.76,$6.26
SONX,12/23/2021,$6.28,"172,796",$6.3,$6.39,$6
SONX,12/22/2021,$6.35,"236,931",$6.76,$7.26,$6.3
SONX,12/21/2021,$6.75,"219,494",$6.86,$7.33,$6.66
SONX,12/20/2021,$6.86,"253,763",$7.15,$7.15,$6.26
SONX,12/17/2021,$7.23,"442,537",$7.87,$8.36,$7.23
SONX,12/16/2021,$7.91,"190,289",$8.26,$8.43,$7.7
SONX,12/15/2021,$8.04,"188,029",$8.71,$8.7687,$8
SONX,12/14/2021,$8.5,"128,237",$9.26,$9.47,$8.5
SONX,12/13/2021,$9.48,"80,150",$9.63,$9.8,$9.19
SONX,12/10/2021,$9.77,"190,648",$11.72,$11.72,$9.65
SONX,12/09/2021,$10.92,"324,923",$10.91,$11.48,$9.8
SONX,12/08/2021,$10.95,"438,790",$10.75,$11.8357,$10.34
SONX,12/07/2021,$10.19,"398,663",$9.95,$10.5479,$9.95
SONX,12/06/2021,$9.5,"681,942",$9.04,$10.2149,$8.86
SONX,12/03/2021,$8.28,"113,894",$8.76,$9.16,$8.19
SONX,12/02/2021,$8.82,"89,848",$8.5,$8.91,$8.5
SONX,12/01/2021,$8.41,"154,713",$9.55,$9.74,$8.3
SONX,11/30/2021,$9.7,"131,010",$9.86,$10.41,$9.565
SONX,11/29/2021,$9.88,"147,627",$11.36,$11.6,$9.88
SONX,11/26/2021,$11.5,"102,151",$11.5,$12.24,$11.28
SONX,11/24/2021,$11.56,"219,443",$10.36,$11.57,$10.17
SONX,11/23/2021,$10.57,"198,921",$11,$11.2,$10.2
SONX,11/22/2021,$10.55,"215,564",$10.96,$11.41,$10.27
SONX,11/19/2021,$10.93,"109,439",$11.04,$11.08,$10.54
SONX,11/18/2021,$10.9,"105,417",$10,$10.99,$9.9
SONX,11/17/2021,$10.29,"71,591",$9.64,$10.515,$9.64
SONX,11/16/2021,$9.81,"288,163",$11,$11.08,$9.51
SONX,11/15/2021,$10.9,"261,031",$10.095,$11.1638,$10
SONX,11/12/2021,$10.03,"94,251",$9.73,$10.2399,$9.73
SONX,11/11/2021,$9.87,"117,931",$9.73,$9.93,$9.6
SONX,11/10/2021,$9.89,"195,963",$9.77,$10,$9.47
SONX,11/09/2021,$9.71,"122,406",$9.24,$9.81,$9.21
SONX,11/08/2021,$9.45,"252,396",$9.02,$9.49,$9.02
SONX,11/05/2021,$9.08,"174,043",$9.16,$9.41,$9
SONX,11/04/2021,$9.29,"210,041",$9.13,$9.5,$9.01
SONX,11/03/2021,$9.36,"381,966",$9.37,$9.51,$8.53
SONX,11/02/2021,$9.37,"395,552",$9.46,$9.89,$9.1
SONX,11/01/2021,$9.8,"741,815",$9.4,$10.1,$9.4
SONX,10/29/2021,$9.2,"3,221,400",$9,$10.02,$9
