ticker,date,close,volume,open,high,low
SPNE,02/10/2022,$12.23,"84,405",$12,$12.44,$11.89
SPNE,02/09/2022,$12.3,"68,209",$12.16,$12.464,$12.16
SPNE,02/08/2022,$12.08,"55,376",$11.58,$12.13,$11.565
SPNE,02/07/2022,$11.62,"55,110",$11.49,$11.91,$11.39
SPNE,02/04/2022,$11.54,"101,903",$11.15,$11.58,$11.01
SPNE,02/03/2022,$11.22,"62,252",$11.47,$11.7281,$11.13
SPNE,02/02/2022,$11.59,"67,138",$12.03,$12.03,$11.4
SPNE,02/01/2022,$11.94,"58,333",$12.01,$12.2,$11.68
SPNE,01/31/2022,$11.98,"160,211",$11.25,$12.04,$11.25
SPNE,01/28/2022,$11.39,"122,030",$11.34,$11.39,$10.76
SPNE,01/27/2022,$11.31,"69,974",$11.7,$11.9868,$11.16
SPNE,01/26/2022,$11.65,"121,580",$12.12,$12.27,$11.32
SPNE,01/25/2022,$12.1,"136,421",$12.02,$12.23,$11.58
SPNE,01/24/2022,$12.24,"81,089",$11.72,$12.27,$11.45
SPNE,01/21/2022,$11.95,"108,947",$12.05,$12.2,$11.6
SPNE,01/20/2022,$11.94,"77,957",$12.15,$12.49,$11.925
SPNE,01/19/2022,$12.04,"68,640",$12.36,$12.36,$11.9203
SPNE,01/18/2022,$12.32,"64,749",$12.75,$12.75,$12.255
SPNE,01/14/2022,$12.96,"63,920",$12.9,$13.11,$12.61
SPNE,01/13/2022,$13.04,"74,159",$12.94,$13.3,$12.7
SPNE,01/12/2022,$12.9,"111,476",$13.35,$13.4,$12.7
SPNE,01/11/2022,$13.35,"118,298",$13.3,$13.6286,$13.12
SPNE,01/10/2022,$13.48,"122,836",$12.6,$13.5,$12.15
SPNE,01/07/2022,$12.65,"111,306",$13.06,$13.06,$12.31
SPNE,01/06/2022,$13,"93,715",$13.26,$13.48,$12.85
SPNE,01/05/2022,$13.3,"203,411",$14.04,$14.23,$13.24
SPNE,01/04/2022,$14.05,"95,153",$14.07,$14.26,$13.385
SPNE,01/03/2022,$14,"113,144",$13.67,$14.13,$13.43
SPNE,12/31/2021,$13.62,"206,589",$13.24,$13.665,$13.12
SPNE,12/30/2021,$13.31,"215,844",$12.55,$13.39,$12.55
SPNE,12/29/2021,$12.63,"102,777",$12.855,$13.0063,$12.41
SPNE,12/28/2021,$12.7,"42,197",$13.16,$13.16,$12.68
SPNE,12/27/2021,$12.91,"67,054",$12.93,$13.09,$12.695
SPNE,12/23/2021,$12.95,"73,106",$13.165,$13.215,$12.84
SPNE,12/22/2021,$13.06,"149,108",$12.56,$13.07,$12.56
SPNE,12/21/2021,$12.7,"118,513",$12.39,$12.92,$12.335
SPNE,12/20/2021,$12.24,"129,036",$12.39,$12.41,$11.86
SPNE,12/17/2021,$12.69,"453,546",$12.585,$12.92,$12.08
SPNE,12/16/2021,$12.25,"158,317",$13.88,$13.88,$12.226
SPNE,12/15/2021,$12.81,"113,815",$12.8,$12.91,$12.34
SPNE,12/14/2021,$12.85,"113,928",$13.05,$13.28,$12.775
SPNE,12/13/2021,$13.19,"107,101",$13.26,$13.47,$13.01
SPNE,12/10/2021,$13.33,"71,885",$13.52,$13.59,$13.28
SPNE,12/09/2021,$13.42,"56,172",$13.76,$14.3664,$13.2677
SPNE,12/08/2021,$13.92,"91,144",$13.84,$14.16,$13.76
SPNE,12/07/2021,$13.89,"98,071",$14.285,$14.285,$13.49
SPNE,12/06/2021,$13.45,"109,742",$13.13,$13.62,$12.9
SPNE,12/03/2021,$12.97,"115,998",$13.39,$14.035,$12.75
SPNE,12/02/2021,$13.38,"83,385",$12.82,$13.45,$12.8
SPNE,12/01/2021,$12.9,"185,090",$13.64,$14.305,$12.9
SPNE,11/30/2021,$13.43,"190,382",$13.73,$13.73,$12.9025
SPNE,11/29/2021,$13.38,"260,193",$13.85,$13.85,$13.25
SPNE,11/26/2021,$13.5,"129,891",$15.035,$15.035,$13.41
SPNE,11/24/2021,$14.68,"91,702",$14.58,$14.79,$14.3
SPNE,11/23/2021,$14.57,"192,307",$14.73,$14.73,$14.2801
SPNE,11/22/2021,$14.79,"169,137",$14.45,$14.925,$14.33
SPNE,11/19/2021,$14.42,"123,717",$14.49,$14.6799,$14.37
SPNE,11/18/2021,$14.52,"167,045",$15.13,$15.13,$14.5
SPNE,11/17/2021,$14.95,"95,936",$14.96,$15.07,$14.82
SPNE,11/16/2021,$14.93,"90,030",$15.04,$15.355,$14.85
SPNE,11/15/2021,$14.97,"157,457",$15.33,$15.33,$14.65
SPNE,11/12/2021,$15.26,"94,156",$15.36,$15.455,$15.03
