ticker,date,close,volume,open,high,low
STAB,02/10/2022,$0.95,"390,694",$0.98,$0.98,$0.9306
STAB,02/09/2022,$0.96,"225,880",$1,$1,$0.95
STAB,02/08/2022,$0.9658,"373,728",$1.03,$1.03,$0.951
STAB,02/07/2022,$1.03,"836,045",$1,$1.08,$0.9751
STAB,02/04/2022,$1.31,"58,285",$1.37,$1.39,$1.3
STAB,02/03/2022,$1.34,"81,672",$1.32,$1.4,$1.3
STAB,02/02/2022,$1.4,"125,632",$1.37,$1.45,$1.34
STAB,02/01/2022,$1.37,"71,774",$1.42,$1.48,$1.3333
STAB,01/31/2022,$1.42,"140,678",$1.43,$1.5,$1.3
STAB,01/28/2022,$1.42,"71,852",$1.3,$1.44,$1.2997
STAB,01/27/2022,$1.34,"68,503",$1.42,$1.42,$1.29
STAB,01/26/2022,$1.44,"97,043",$1.58,$1.58,$1.41
STAB,01/25/2022,$1.48,"89,948",$1.32,$1.54,$1.31
STAB,01/24/2022,$1.38,"258,923",$1.54,$1.6031,$1.25
STAB,01/21/2022,$1.59,"154,148",$1.74,$1.75,$1.52
STAB,01/20/2022,$1.76,"95,356",$1.82,$1.91,$1.73
STAB,01/19/2022,$1.8,"69,865",$1.85,$1.9399,$1.75
STAB,01/18/2022,$1.85,"41,947",$2,$2,$1.82
STAB,01/14/2022,$1.97,"76,400",$1.96,$2.02,$1.9
STAB,01/13/2022,$1.9,"68,245",$2.01,$2.05,$1.9
STAB,01/12/2022,$1.96,"134,984",$2.08,$2.15,$1.95
STAB,01/11/2022,$2.03,"77,466",$1.86,$2.04,$1.835
STAB,01/10/2022,$1.82,"73,078",$1.85,$1.87,$1.75
STAB,01/07/2022,$1.84,"128,218",$1.88,$1.9903,$1.84
STAB,01/06/2022,$1.88,"168,272",$2,$2.02,$1.8601
STAB,01/05/2022,$2.02,"206,953",$2.11,$2.12,$2
STAB,01/04/2022,$2.14,"133,786",$2.23,$2.28,$2.065
STAB,01/03/2022,$2.27,"83,885",$2.34,$2.38,$2.2395
STAB,12/31/2021,$2.3,"170,925",$2.26,$2.32,$2.22
STAB,12/30/2021,$2.24,"192,041",$2.15,$2.28,$2.15
STAB,12/29/2021,$2.15,"150,172",$2.21,$2.2438,$2.1038
STAB,12/28/2021,$2.16,"223,666",$2.25,$2.25,$2.12
STAB,12/27/2021,$2.23,"163,469",$2.3,$2.3,$2.2
STAB,12/23/2021,$2.29,"158,367",$2.29,$2.32,$2.22
STAB,12/22/2021,$2.28,"330,188",$2.18,$2.42,$2.14
STAB,12/21/2021,$2.24,"169,420",$2.18,$2.25,$2.15
STAB,12/20/2021,$2.2,"137,966",$2.1,$2.2,$2.09
STAB,12/17/2021,$2.2,"319,044",$2.37,$2.37,$2.1054
STAB,12/16/2021,$2.35,"271,799",$2.18,$2.45,$2.13
STAB,12/15/2021,$2.1,"192,033",$2.01,$2.18,$1.995
STAB,12/14/2021,$2.01,"270,514",$2.1,$2.2,$2
STAB,12/13/2021,$2.07,"244,615",$2.09,$2.19,$2.07
STAB,12/10/2021,$2.09,"318,156",$2.33,$2.3699,$2.09
STAB,12/09/2021,$2.31,"102,434",$2.55,$2.6,$2.31
STAB,12/08/2021,$2.55,"205,164",$2.46,$2.59,$2.3158
STAB,12/07/2021,$2.41,"1,078,103",$2.02,$2.79,$2.02
STAB,12/06/2021,$2.01,"372,681",$2.21,$2.23,$1.99
STAB,12/03/2021,$2.3,"205,001",$2.46,$2.5,$2.26
STAB,12/02/2021,$2.5,"315,477",$2.73,$2.8,$2.2701
STAB,12/01/2021,$2.69,"816,672",$2.99,$2.99,$2.65
STAB,11/30/2021,$2.94,"177,472",$3.06,$3.27,$2.91
STAB,11/29/2021,$3.16,"186,984",$3.44,$3.47,$3.11
STAB,11/26/2021,$3.34,"59,260",$3.41,$3.49,$3.29
STAB,11/24/2021,$3.52,"133,613",$3.45,$3.596,$3.4
STAB,11/23/2021,$3.44,"103,075",$3.46,$3.569,$3.31
STAB,11/22/2021,$3.42,"134,730",$3.41,$3.6,$3.25
STAB,11/19/2021,$3.48,"158,544",$3.24,$3.65,$3.231
STAB,11/18/2021,$3.25,"266,521",$3.76,$3.76,$3.15
STAB,11/17/2021,$3.75,"102,718",$3.93,$3.9765,$3.69
STAB,11/16/2021,$3.89,"169,653",$4.02,$4.1,$3.75
STAB,11/15/2021,$4.02,"121,349",$4.17,$4.18,$3.8649
STAB,11/12/2021,$4.08,"202,682",$3.75,$4.16,$3.7
STAB,11/11/2021,$3.88,"153,075",$3.86,$3.93,$3.61
STAB,11/10/2021,$3.83,"124,728",$3.88,$3.89,$3.62
STAB,11/09/2021,$3.76,"147,446",$3.9,$3.9,$3.64
STAB,11/08/2021,$3.88,"174,843",$3.888,$3.9,$3.8
STAB,11/05/2021,$3.69,"158,853",$3.52,$3.79,$3.4302
STAB,11/04/2021,$3.6,"283,783",$3.74,$3.75,$3.47
STAB,11/03/2021,$3.75,"206,513",$3.64,$3.97,$3.53
STAB,11/02/2021,$3.64,"182,691",$3.81,$3.81,$3.46
STAB,11/01/2021,$3.82,"235,106",$3.89,$4.04,$3.75
STAB,10/29/2021,$3.81,"287,755",$3.6,$3.84,$3.6
STAB,10/28/2021,$3.57,"341,372",$3.25,$3.65,$3.15
STAB,10/27/2021,$3.16,"174,277",$3.5,$3.5,$3.16
STAB,10/26/2021,$3.48,"144,835",$3.37,$3.5,$3.31
STAB,10/25/2021,$3.45,"216,089",$3.52,$3.5599,$3.1856
STAB,10/22/2021,$3.56,"303,988",$3.79,$3.79,$3.2756
STAB,10/21/2021,$3.87,"275,232",$3.6,$3.87,$3.58
STAB,10/20/2021,$3.57,"335,420",$3.44,$3.85,$3.41
STAB,10/19/2021,$3.44,"328,474",$3.07,$3.52,$3.05
STAB,10/18/2021,$3.16,"401,111",$3.09,$3.2,$2.92
STAB,10/15/2021,$3.22,"2,518,282",$2.99,$3.85,$2.85
STAB,10/14/2021,$2.84,"267,809",$3.25,$3.25,$2.75
STAB,10/13/2021,$3.11,"530,879",$3,$3.3,$2.89
STAB,10/12/2021,$2.7,"211,498",$2.66,$2.75,$2.51
STAB,10/11/2021,$2.57,"265,128",$2.25,$2.61,$2.23
STAB,10/08/2021,$2.23,"54,768",$2.3,$2.3,$2.11
STAB,10/07/2021,$2.2,"58,670",$2.2,$2.32,$2.15
STAB,10/06/2021,$2.21,"41,424",$2.33,$2.39,$2.21
STAB,10/05/2021,$2.36,"27,065",$2.33,$2.4,$2.21
STAB,10/04/2021,$2.32,"51,665",$2.3,$2.42,$2.3
STAB,10/01/2021,$2.29,"26,380",$2.28,$2.41,$2.2
STAB,09/30/2021,$2.31,"57,272",$2.23,$2.41,$2.21
STAB,09/29/2021,$2.29,"83,025",$2.4,$2.4,$2.17
STAB,09/28/2021,$2.34,"78,052",$2.42,$2.58,$2.34
STAB,09/27/2021,$2.42,"95,681",$2.49,$2.6183,$2.35
STAB,09/24/2021,$2.47,"212,209",$2.75,$2.75,$2.45
STAB,09/23/2021,$2.72,"183,979",$2.81,$2.845,$2.6813
STAB,09/22/2021,$2.84,"64,656",$2.8,$2.9,$2.8
STAB,09/21/2021,$2.81,"110,338",$2.95,$2.96,$2.75
STAB,09/20/2021,$2.93,"99,404",$3.04,$3.18,$2.91
STAB,09/17/2021,$3.19,"401,660",$3.18,$3.35,$3.1101
STAB,09/16/2021,$3.21,"141,563",$3.28,$3.45,$3.15
STAB,09/15/2021,$3.25,"101,859",$3.26,$3.4559,$3.13
STAB,09/14/2021,$3.26,"150,175",$3.57,$3.7,$3.1601
STAB,09/13/2021,$3.54,"226,367",$3.84,$4.0849,$3.49
STAB,09/10/2021,$3.78,"211,613",$4.29,$4.32,$3.58
STAB,09/09/2021,$4.34,"160,852",$4.17,$4.65,$4.08
STAB,09/08/2021,$4.23,"129,779",$4.42,$4.43,$3.8506
STAB,09/07/2021,$4.34,"383,814",$3.6,$4.66,$3.5805
STAB,09/03/2021,$3.57,"66,307",$3.77,$3.78,$3.309
STAB,09/02/2021,$3.78,"254,686",$3.08,$3.78,$3.08
STAB,09/01/2021,$3.12,"83,467",$3.27,$3.27,$3.03
STAB,08/31/2021,$3.17,"116,483",$3.44,$3.52,$3.11
STAB,08/30/2021,$3.42,"25,841",$3.41,$3.5,$3.41
STAB,08/27/2021,$3.43,"32,564",$3.49,$3.55,$3.3971
STAB,08/26/2021,$3.48,"51,287",$3.21,$3.54,$3.2
STAB,08/25/2021,$3.2,"84,821",$3.44,$3.5,$3.19
STAB,08/24/2021,$3.45,"92,930",$3.73,$3.73,$3.45
STAB,08/23/2021,$3.77,"74,854",$3.37,$3.77,$3.32
STAB,08/20/2021,$3.58,"114,896",$3.07,$3.66,$3
STAB,08/19/2021,$3.1,"64,929",$3.15,$3.15,$2.96
STAB,08/18/2021,$3.11,"40,238",$3.12,$3.2047,$3
STAB,08/17/2021,$3.11,"268,097",$2.8,$3.27,$2.74
STAB,08/16/2021,$2.74,"144,686",$2.95,$2.96,$2.7
STAB,08/13/2021,$2.97,"236,544",$3.2,$3.2,$2.92
STAB,08/12/2021,$3.27,"260,424",$3.45,$3.45,$3.25
STAB,08/11/2021,$3.42,"254,788",$3.66,$3.66,$3.13
STAB,08/10/2021,$3.71,"83,160",$3.85,$3.88,$3.58
STAB,08/09/2021,$3.91,"110,863",$3.708,$3.99,$3.5
STAB,08/06/2021,$3.87,"92,882",$3.67,$3.8999,$3.6104
STAB,08/05/2021,$3.63,"151,051",$3.38,$3.65,$3.34
STAB,08/04/2021,$3.42,"186,467",$3.58,$3.65,$3.35
STAB,08/03/2021,$3.56,"212,972",$3.71,$3.8422,$3.5
STAB,08/02/2021,$3.71,"475,190",$4.23,$4.23,$3.64
STAB,07/30/2021,$4.3,"155,586",$4.35,$4.6,$4.23
STAB,07/29/2021,$4.36,"221,634",$4.96,$4.96,$4.25
STAB,07/28/2021,$5.01,"210,830",$5.1,$5.64,$4.75
STAB,07/27/2021,$4.99,"163,724",$4.89,$5.0998,$4.8501
STAB,07/26/2021,$4.98,"268,680",$4.64,$5,$4.41
STAB,07/23/2021,$4.58,"57,771",$4.69,$4.75,$4.58
STAB,07/22/2021,$4.75,"205,910",$4.59,$4.838,$4.42
STAB,07/21/2021,$4.59,"172,950",$4.36,$4.69,$4.36
STAB,07/20/2021,$4.42,"124,578",$4.24,$4.5,$4.23
STAB,07/19/2021,$4.28,"272,184",$4.17,$4.54,$4.12
STAB,07/16/2021,$4.36,"304,938",$4.26,$4.4399,$4.1
STAB,07/15/2021,$4.14,"332,053",$4.42,$4.45,$4.07
STAB,07/14/2021,$4.42,"297,952",$4.77,$4.77,$4.36
STAB,07/13/2021,$4.78,"581,505",$4.57,$4.85,$4.2984
STAB,07/12/2021,$4.56,"413,489",$4.63,$4.66,$4.35
STAB,07/09/2021,$4.62,"688,393",$4.75,$4.8295,$4.43
STAB,07/08/2021,$4.84,"659,282",$4.79,$5.02,$4.65
STAB,07/07/2021,$5.06,"2,495,460",$5.88,$6.13,$4.64
STAB,07/06/2021,$6.24,"3,465,337",$5.99,$7.1,$5.9
STAB,07/02/2021,$5.81,"69,930",$5.7,$5.8699,$5.64
STAB,07/01/2021,$5.64,"79,313",$5.47,$5.75,$5.47
STAB,06/30/2021,$5.47,"25,788",$5.38,$5.48,$5.3434
STAB,06/29/2021,$5.4,"16,573",$5.4,$5.4,$5.2751
STAB,06/28/2021,$5.36,"35,743",$5.33,$5.4,$5.18
STAB,06/25/2021,$5.4,"50,526",$5.16,$5.4,$5.1001
STAB,06/24/2021,$5.09,"36,682",$5.19,$5.255,$5.0882
STAB,06/23/2021,$5.19,"36,729",$4.9,$5.25,$4.9
STAB,06/22/2021,$4.92,"43,295",$4.97,$5.2,$4.92
STAB,06/21/2021,$5.04,"110,600",$5.19,$5.37,$4.88
STAB,06/18/2021,$5.26,"273,672",$5.01,$5.3452,$4.871
STAB,06/17/2021,$4.85,"173,333",$5,$5.1,$4.75
STAB,06/16/2021,$5.03,"44,729",$5.2,$5.371,$4.97
STAB,06/15/2021,$5.2,"24,401",$5.27,$5.43,$5.19
STAB,06/14/2021,$5.33,"87,830",$5.8,$5.85,$5.32
STAB,06/11/2021,$5.83,"270,553",$5.6,$5.9,$5.6
STAB,06/10/2021,$5.48,"272,997",$5.5,$5.75,$5.2
STAB,06/09/2021,$5.45,"59,583",$5.53,$5.65,$5.32
STAB,06/08/2021,$5.51,"46,884",$5.61,$5.75,$5.4
STAB,06/07/2021,$5.62,"49,572",$5.45,$5.7057,$5.45
STAB,06/04/2021,$5.45,"26,044",$5.31,$5.45,$5.2665
STAB,06/03/2021,$5.31,"20,186",$5.38,$5.45,$5.2
STAB,06/02/2021,$5.43,"115,566",$5.37,$5.55,$5.3
STAB,06/01/2021,$5.4,"51,398",$5.4,$5.4,$5.25
STAB,05/28/2021,$5.4,"51,082",$5.2,$5.45,$5
STAB,05/27/2021,$5.17,"68,484",$5.39,$5.39,$5.01
