ticker,date,close,volume,open,high,low
SUPN,02/10/2022,$30.64,"264,133",$30.87,$31.41,$30.49
SUPN,02/09/2022,$31.34,"278,633",$31.5,$31.89,$31.22
SUPN,02/08/2022,$31.25,"454,712",$31.08,$31.77,$30.9
SUPN,02/07/2022,$31.19,"215,817",$30.54,$31.33,$30.54
SUPN,02/04/2022,$30.93,"280,622",$30.16,$31.21,$29.82
SUPN,02/03/2022,$30.09,"342,420",$31.14,$31.315,$30.01
SUPN,02/02/2022,$31.36,"366,417",$31.66,$32.21,$30.63
SUPN,02/01/2022,$31.75,"431,516",$31.03,$31.78,$30.56
SUPN,01/31/2022,$30.85,"603,113",$30.36,$31.05,$30.2
SUPN,01/28/2022,$30.71,"480,907",$29.02,$30.75,$28.9383
SUPN,01/27/2022,$29.02,"367,969",$29.34,$29.655,$28.87
SUPN,01/26/2022,$29.35,"357,585",$30.23,$30.7,$29.16
SUPN,01/25/2022,$29.7,"491,927",$28.93,$29.85,$28.335
SUPN,01/24/2022,$29.14,"606,727",$29.16,$29.38,$27.93
SUPN,01/21/2022,$29.65,"567,524",$29,$30.44,$29
SUPN,01/20/2022,$29.22,"589,616",$29.19,$30.11,$29.1
SUPN,01/19/2022,$29.15,"293,030",$29.27,$29.6081,$28.96
SUPN,01/18/2022,$29.25,"505,186",$30.08,$30.57,$29.19
SUPN,01/14/2022,$30.36,"314,995",$29,$30.41,$29
SUPN,01/13/2022,$29.2,"177,839",$29.65,$29.9362,$29.14
SUPN,01/12/2022,$29.67,"198,566",$30.31,$30.39,$29.5
SUPN,01/11/2022,$30.23,"280,978",$29.84,$30.47,$29.57
SUPN,01/10/2022,$29.79,"423,029",$29.73,$30.32,$29.33
SUPN,01/07/2022,$29.73,"299,852",$28.4,$29.82,$28.06
SUPN,01/06/2022,$28.51,"305,060",$29.09,$29.505,$28.34
SUPN,01/05/2022,$29.12,"263,685",$29.42,$30.23,$29
SUPN,01/04/2022,$29.46,"307,174",$30.11,$30.56,$29.02
SUPN,01/03/2022,$30.08,"496,834",$29.17,$30.41,$29.1
SUPN,12/31/2021,$29.16,"333,146",$29.99,$30.26,$29.08
SUPN,12/30/2021,$30.03,"195,849",$29.85,$30.49,$29.85
SUPN,12/29/2021,$30.04,"205,599",$30.14,$30.26,$29.15
SUPN,12/28/2021,$30.41,"196,029",$30.92,$31.25,$30.36
SUPN,12/27/2021,$31.02,"315,534",$30.86,$31.48,$30.685
SUPN,12/23/2021,$30.8,"130,686",$30.63,$31.0973,$30.23
SUPN,12/22/2021,$30.73,"406,724",$29.73,$30.93,$29.28
SUPN,12/21/2021,$29.68,"432,068",$30.25,$30.31,$29.39
SUPN,12/20/2021,$29.74,"523,931",$28.67,$29.86,$28.135
