ticker,date,close,volume,open,high,low
TALS,02/10/2022,$9.91,"60,441",$9.32,$10.27,$9.32
TALS,02/09/2022,$9.67,"37,786",$10.022,$10.18,$9.41
TALS,02/08/2022,$9.66,"83,863",$9.48,$10.4265,$9.04
TALS,02/07/2022,$9.6,"57,710",$8.74,$9.91,$8.57
TALS,02/04/2022,$8.75,"32,851",$8.32,$8.9265,$8.13
TALS,02/03/2022,$8.42,"34,069",$8.58,$9.11,$8.325
TALS,02/02/2022,$8.81,"73,250",$9.1,$9.9899,$8.255
TALS,02/01/2022,$9.1,"30,230",$9.41,$9.59,$9.09
TALS,01/31/2022,$9.43,"122,473",$8.95,$9.72,$8.87
TALS,01/28/2022,$9.08,"18,841",$9.07,$9.29,$8.46
TALS,01/27/2022,$9,"31,190",$9.17,$9.36,$8.75
TALS,01/26/2022,$9.15,"32,238",$10.09,$10.09,$8.935
TALS,01/25/2022,$9.82,"46,101",$9.5,$10,$9.151
TALS,01/24/2022,$9.49,"63,392",$8.98,$9.74,$8.6
TALS,01/21/2022,$9.04,"65,125",$9.19,$9.71,$8.5061
TALS,01/20/2022,$9.38,"61,585",$9.89,$10.0199,$9.26
TALS,01/19/2022,$9.8,"48,343",$10.1,$10.28,$9.65
TALS,01/18/2022,$10.08,"97,568",$10.58,$11.29,$9.83
TALS,01/14/2022,$10.65,"60,778",$10.63,$11.17,$10.485
TALS,01/13/2022,$10.96,"86,045",$11.62,$12.4257,$10.56
TALS,01/12/2022,$11.7,"106,707",$12.2,$12.21,$11.52
TALS,01/11/2022,$12.28,"104,013",$13.35,$13.45,$12.12
TALS,01/10/2022,$13.5,"49,451",$13.61,$14.05,$12.97
TALS,01/07/2022,$13.63,"28,557",$14.43,$14.56,$13.33
TALS,01/06/2022,$14.51,"54,697",$14.86,$15.65,$14.37
TALS,01/05/2022,$14.68,"40,569",$15.93,$16.055,$14.33
TALS,01/04/2022,$15.97,"61,224",$16.5,$16.615,$14.85
TALS,01/03/2022,$16.56,"85,835",$15.59,$16.63,$14.79
TALS,12/31/2021,$15.29,"55,493",$15.51,$15.9,$15.01
TALS,12/30/2021,$15.34,"42,441",$14.66,$15.675,$14.6
TALS,12/29/2021,$14.66,"51,343",$14.57,$14.76,$14.1026
TALS,12/28/2021,$14.66,"60,730",$14.72,$15.21,$14.5
TALS,12/27/2021,$14.59,"31,999",$15.12,$15.2,$14.4
TALS,12/23/2021,$14.99,"62,552",$15.37,$15.37,$14.93
TALS,12/22/2021,$15.15,"68,643",$14.74,$15.39,$14.52
TALS,12/21/2021,$14.72,"201,467",$14.91,$15.61,$13.42
TALS,12/20/2021,$14.85,"295,906",$12.9,$15.2,$12.44
TALS,12/17/2021,$12.66,"1,624,235",$12.88,$13.405,$12.01
TALS,12/16/2021,$12.92,"260,693",$14.5,$15.09,$12.43
TALS,12/15/2021,$14.5,"303,984",$13.99,$15.42,$13.73
TALS,12/14/2021,$14.13,"98,078",$14.49,$15.31,$12.945
TALS,12/13/2021,$14.61,"119,585",$14.45,$15.25,$14.01
TALS,12/10/2021,$14.48,"86,592",$14.96,$15.56,$14.28
TALS,12/09/2021,$14.66,"80,800",$14.94,$15.14,$14.55
TALS,12/08/2021,$15.15,"75,893",$14.43,$15.4,$13.82
TALS,12/07/2021,$14.62,"205,917",$13.87,$15.43,$13.87
TALS,12/06/2021,$13.58,"148,353",$13.04,$14.45,$12.6
TALS,12/03/2021,$12.75,"113,103",$13.67,$13.8699,$12.21
TALS,12/02/2021,$13.61,"54,334",$12.29,$13.69,$12.29
