ticker,date,close,volume,open,high,low
XNCR,02/10/2022,$33.96,"260,346",$34.5,$35.8,$33.305
XNCR,02/09/2022,$35.32,"278,458",$34.88,$35.92,$34.48
XNCR,02/08/2022,$34.57,"491,507",$32.52,$34.78,$31.91
XNCR,02/07/2022,$32.54,"181,987",$31.92,$32.805,$31.4975
XNCR,02/04/2022,$32,"260,786",$31.06,$32.385,$30.62
XNCR,02/03/2022,$31.3,"205,504",$31.94,$32.45,$31.08
XNCR,02/02/2022,$32.08,"244,479",$33.47,$33.47,$32
XNCR,02/01/2022,$33.5,"574,118",$34.3,$34.68,$33.0815
XNCR,01/31/2022,$34.37,"416,600",$32.27,$34.39,$31.8
XNCR,01/28/2022,$32.45,"256,945",$31.97,$32.52,$30.76
XNCR,01/27/2022,$31.92,"280,729",$33.62,$34.4,$31.75
XNCR,01/26/2022,$33.5,"500,402",$33.34,$35.76,$33.19
XNCR,01/25/2022,$32.9,"795,633",$34.63,$34.86,$32.89
XNCR,01/24/2022,$35.2,"344,568",$34.13,$35.41,$33
XNCR,01/21/2022,$34.26,"514,742",$34.75,$36.02,$34.26
XNCR,01/20/2022,$34.83,"179,765",$35.26,$36.28,$34.76
XNCR,01/19/2022,$34.97,"200,024",$35.37,$36.69,$34.82
XNCR,01/18/2022,$35.09,"235,531",$36.46,$37.07,$34.98
XNCR,01/14/2022,$37.05,"203,704",$35.66,$37.18,$35.4
XNCR,01/13/2022,$36.11,"177,683",$36.59,$37,$35.95
XNCR,01/12/2022,$36.45,"205,378",$38.05,$38.385,$36.37
XNCR,01/11/2022,$37.75,"172,467",$38.18,$38.965,$37.52
XNCR,01/10/2022,$38.08,"220,250",$37.66,$38.15,$36.895
XNCR,01/07/2022,$37.97,"188,455",$39.47,$40.05,$37.94
XNCR,01/06/2022,$39.47,"205,270",$39.01,$40.2,$38.47
XNCR,01/05/2022,$39.26,"212,791",$40.83,$41.46,$39.16
XNCR,01/04/2022,$41.09,"253,684",$41.41,$42.3,$40.875
XNCR,01/03/2022,$41.63,"195,409",$40.44,$41.63,$39.975
XNCR,12/31/2021,$40.12,"247,214",$40.86,$41.385,$39.2
XNCR,12/30/2021,$40.74,"201,885",$40.76,$41.525,$40.54
XNCR,12/29/2021,$40.82,"188,451",$40.44,$41.24,$40.17
XNCR,12/28/2021,$40.61,"191,831",$40.36,$41.41,$40.175
XNCR,12/27/2021,$40.44,"194,094",$40.77,$40.91,$40.255
XNCR,12/23/2021,$40.72,"157,107",$40.2,$41.29,$38.7
XNCR,12/22/2021,$40.12,"225,594",$39.37,$40.21,$38.72
XNCR,12/21/2021,$39.19,"324,698",$39.47,$39.47,$38.32
XNCR,12/20/2021,$39.01,"433,483",$37.77,$39.49,$37.385
XNCR,12/17/2021,$38.04,"1,509,328",$36.27,$39.05,$35.96
XNCR,12/16/2021,$36.36,"569,689",$36.51,$37.4304,$35.6
XNCR,12/15/2021,$36.55,"517,943",$34.76,$36.91,$33.4
XNCR,12/14/2021,$33.74,"299,399",$33.8,$34.64,$32.51
XNCR,12/13/2021,$33.94,"306,933",$33.69,$34.595,$33.18
XNCR,12/10/2021,$33.79,"240,952",$34.25,$34.73,$33.61
XNCR,12/09/2021,$34.17,"273,602",$35.49,$36.025,$34.14
XNCR,12/08/2021,$35.8,"146,041",$35.61,$36.045,$35.135
XNCR,12/07/2021,$35.57,"289,263",$34.6,$36.24,$34.6
XNCR,12/06/2021,$34.53,"220,466",$35.34,$35.34,$34.4
XNCR,12/03/2021,$35.16,"286,830",$37.03,$37.03,$35.005
XNCR,12/02/2021,$36.73,"304,611",$35.6,$37.05,$34.84
XNCR,12/01/2021,$35.68,"337,817",$36.62,$37.26,$35.6
XNCR,11/30/2021,$36.22,"603,560",$35.71,$36.7399,$35.02
XNCR,11/29/2021,$36.09,"285,775",$35.93,$36.51,$35.4501
XNCR,11/26/2021,$35.44,"215,342",$36.57,$37.48,$35.08
XNCR,11/24/2021,$37.02,"212,187",$36.74,$37.14,$36.09
XNCR,11/23/2021,$36.89,"396,072",$37.13,$37.745,$35.74
XNCR,11/22/2021,$37.29,"211,395",$37.15,$38.25,$36.33
XNCR,11/19/2021,$36.86,"152,416",$36.84,$37.3,$36.34
XNCR,11/18/2021,$36.97,"186,550",$37.39,$37.82,$36.76
XNCR,11/17/2021,$37.32,"165,221",$37.29,$37.96,$37.13
XNCR,11/16/2021,$37.63,"195,027",$37.18,$37.94,$37.05
XNCR,11/15/2021,$37.45,"195,425",$38.51,$39.07,$37.32
XNCR,11/12/2021,$38.66,"144,269",$39.74,$39.95,$38.4415
XNCR,11/11/2021,$39.57,"149,022",$39.06,$40.02,$39.05
XNCR,11/10/2021,$39.01,"169,867",$38.14,$39.92,$38.08
XNCR,11/09/2021,$38.39,"259,308",$38.88,$39.69,$37.31
XNCR,11/08/2021,$40.6,"176,666",$41.48,$41.73,$39.94
XNCR,11/05/2021,$41.29,"293,096",$42.3,$43.3,$40.95
XNCR,11/04/2021,$42.64,"229,496",$43.42,$43.42,$41.87
XNCR,11/03/2021,$43.44,"212,545",$41.2,$43.61,$40.36
XNCR,11/02/2021,$41.3,"138,181",$40.95,$41.365,$40.38
XNCR,11/01/2021,$40.86,"223,946",$39.41,$40.98,$39.4
XNCR,10/29/2021,$39.56,"183,273",$39.63,$40.33,$39.36
XNCR,10/28/2021,$39.69,"182,802",$39.19,$39.76,$38.86
