ticker,date,close,volume,open,high,low
ZSAN,02/10/2022,$0.2319,"34,623,070",$0.2377,$0.2427,$0.2304
ZSAN,02/09/2022,$0.2431,"98,883,490",$0.237,$0.2508,$0.23
ZSAN,02/08/2022,$0.4726,"3,499,107",$0.49,$0.5025,$0.46
ZSAN,02/07/2022,$0.4585,"844,525",$0.44,$0.475,$0.44
ZSAN,02/04/2022,$0.4351,"1,343,691",$0.42,$0.445,$0.411
ZSAN,02/03/2022,$0.424,"343,782",$0.4329,$0.44,$0.42
ZSAN,02/02/2022,$0.4398,"563,497",$0.4555,$0.4612,$0.4234
ZSAN,02/01/2022,$0.4613,"539,459",$0.4444,$0.47,$0.4444
ZSAN,01/31/2022,$0.4481,"489,568",$0.4287,$0.47,$0.42
ZSAN,01/28/2022,$0.42,"831,093",$0.4409,$0.45,$0.41
ZSAN,01/27/2022,$0.4349,"868,021",$0.4584,$0.465,$0.43
ZSAN,01/26/2022,$0.4622,"588,555",$0.4895,$0.49,$0.4488
ZSAN,01/25/2022,$0.4775,"539,975",$0.4703,$0.489,$0.46
ZSAN,01/24/2022,$0.4776,"2,263,950",$0.4685,$0.49,$0.441
ZSAN,01/21/2022,$0.4632,"1,339,876",$0.4926,$0.4999,$0.4605
ZSAN,01/20/2022,$0.505,"864,556",$0.5001,$0.5238,$0.5001
ZSAN,01/19/2022,$0.5002,"635,627",$0.5031,$0.5168,$0.4952
ZSAN,01/18/2022,$0.5172,"601,053",$0.515,$0.525,$0.5
ZSAN,01/14/2022,$0.5298,"666,566",$0.525,$0.5399,$0.511
ZSAN,01/13/2022,$0.5194,"845,819",$0.513,$0.529,$0.501
ZSAN,01/12/2022,$0.523,"751,020",$0.5233,$0.5299,$0.513
ZSAN,01/11/2022,$0.5298,"1,159,681",$0.518,$0.5299,$0.5
ZSAN,01/10/2022,$0.5139,"2,056,266",$0.5021,$0.5179,$0.4901
ZSAN,01/07/2022,$0.505,"1,162,600",$0.51,$0.5299,$0.5001
ZSAN,01/06/2022,$0.5152,"2,048,350",$0.53,$0.5399,$0.5023
ZSAN,01/05/2022,$0.5229,"20,993,360",$0.651,$0.7087,$0.522
ZSAN,01/04/2022,$0.5189,"644,532",$0.5299,$0.53,$0.5031
ZSAN,01/03/2022,$0.53,"1,085,376",$0.4823,$0.53,$0.4823
ZSAN,12/31/2021,$0.47,"1,981,930",$0.48,$0.5,$0.4605
ZSAN,12/30/2021,$0.4811,"1,547,455",$0.5,$0.5001,$0.4811
ZSAN,12/29/2021,$0.4825,"1,308,430",$0.51,$0.5149,$0.4805
ZSAN,12/28/2021,$0.4977,"1,600,819",$0.5189,$0.5249,$0.49
ZSAN,12/27/2021,$0.53,"1,484,394",$0.53,$0.54,$0.52
ZSAN,12/23/2021,$0.5437,"720,055",$0.54,$0.55,$0.5225
ZSAN,12/22/2021,$0.543,"686,319",$0.55,$0.5584,$0.5399
ZSAN,12/21/2021,$0.5532,"625,505",$0.5414,$0.57,$0.5414
ZSAN,12/20/2021,$0.57,"1,484,747",$0.511,$0.5739,$0.5101
ZSAN,12/17/2021,$0.51,"711,748",$0.53,$0.5588,$0.51
ZSAN,12/16/2021,$0.5349,"723,033",$0.5418,$0.5699,$0.5254
ZSAN,12/15/2021,$0.5442,"839,396",$0.53,$0.558,$0.516
ZSAN,12/14/2021,$0.5447,"562,447",$0.55,$0.558,$0.5351
ZSAN,12/13/2021,$0.553,"636,633",$0.55,$0.56,$0.532
ZSAN,12/10/2021,$0.57,"728,752",$0.5779,$0.58,$0.56
ZSAN,12/09/2021,$0.5601,"562,128",$0.56,$0.5779,$0.56
ZSAN,12/08/2021,$0.572,"783,983",$0.55,$0.5823,$0.55
ZSAN,12/07/2021,$0.558,"1,007,048",$0.53,$0.57,$0.5239
ZSAN,12/06/2021,$0.534,"1,118,028",$0.52,$0.5479,$0.501
ZSAN,12/03/2021,$0.5251,"2,460,015",$0.5794,$0.5899,$0.5191
ZSAN,12/02/2021,$0.5737,"1,053,861",$0.57,$0.595,$0.5526
ZSAN,12/01/2021,$0.5785,"1,957,883",$0.6,$0.615,$0.57
